[pattern]	lhsText	rhsText	w	gsw	meanSim	greedySim	phrasePair	notSure	isInWordnet	extentionLevel	pairIndex	text	hypothesis	lhsDrs	rhsDrs
[nvn--rnv]	little-a-2 boy-n-3 fearful-a-7 on-r-10 climbing-v-12 wall-n-13	wall-n-7 artificially-r-8 built-v-9 for-r-10	0.0	0.0	0.749921	0.81407, 0.68812, 0.366416	on-in pobj-#1# climb-vb amod-#2# wall-nn #2# #1# : build-vb dobj-#1# for-in #1#, fearful-jj : artificially-rb, little-jj amod-#1# boy-nn #1# : wall-nn	1	Phrasal	1	7	a little boy , who looks fearful , is on a climbing wall .	a boy is climbing up a wall artificially built for climbing and is attached to a rope	drs([[]:x101,[]:x101,[]:x102,[]:x102,[]:x202,[]:x102,[]:x202,[]:x101,[]:x101],[[1300003]:pred(x101,boy,n,0),[1300010]:rel(x101,x102,on,0),[1300013]:pred(x102,wall,n,0),[]:rel(x202,x102,agent,0),[1300012]:pred(x202,climb,v,0),[1300002]:pred(x101,little,a,0),[1300007]:pred(x101,fearful,a,0)])	drs([[]:X201,[]:xir,[]:x102,[]:xir,[]:xir,[]:x102,[]:X201],[[1400008]:pred(X201,artificially,r,0),[]:rel(xir,x102,patient,0),[1400010]:rel(xir,xir,for,0),[1400007]:pred(x102,wall,n,0),[1400009]:pred(X201,build,v,0)])
[v--v]	herding-v-4	scattering-v-4	0.0	0.0	0.666664	0.666664	herd-vb : scatter-vb	0	NotInWN	1	8	a dog is herding a pack of white sheep on a dusty farm	a dog is scattering a pack of white sheep on a dusty farm	drs([[]:x201],[[1500004]:pred(x201,herd,v,0)])	drs([[]:x201],[[1600004]:pred(x201,scatter,v,0)])
[vrn--vn]	uniform-n-6 making-v-8	uniform-n-8 making-v-9	1.0	1.0	1	1, 1	make-vb : make-vb, uniform-nn : uniform-nn	0	Phrasal	1	9	a man in a red uniform is making a jump in a dirt bike race	there is no man in a red uniform making a jump in a dirt bike race	drs([[]:x201,[]:x201,[]:x101,[]:x102],[[1700008]:pred(x201,make,v,0),[]:rel(x201,x101,agent,0),[1700006]:pred(x102,uniform,n,0)])	drs([[]:x201,[]:x201,[]:x102,[]:x102],[[1800009]:pred(x201,make,v,0),[]:rel(x201,x102,agent,0),[1800008]:pred(x102,uniform,n,0)])
[rvnnn--vnnn]	in-r-3 race-n-5 flipping-v-7 tires-n-9 of-r-10 tractor-n-12	competing-v-4 in-r-5 tire-n-7 rolling-n-8 race-n-9	0.0	0.0	0.787679	0.785864, 0.588308	in-in pobj-#1# race-nn #1# : compete-vb dobj-#1# in-in pobj-#2# roll-vb amod-#3# race-nn #3# #2# #1#, flip-vb dobj-#1# tire-nn pmod-#2# of-in pobj-#3# tractor-nn #3# #2# #1# : tire-nn	0	Phrasal	1	10	two men in a race are flipping the tires of a tractor	two men are competing in a tire rolling race	drs([[]:x201,[]:x103,[]:x104,[]:x201,[]:x103,[]:x101,[]:x102,[]:x102,[]:x103,[]:x104],[[]:rel(x201,x103,patient,0),[1900012]:pred(x104,tractor,n,0),[1900007]:pred(x201,flip,v,0),[1900009]:pred(x103,tire,n,0),[1900003]:rel(x101,x102,in,0),[1900005]:pred(x102,race,n,0),[1900010]:rel(x103,x104,of,0)])	drs([[]:X104,[]:x102,[]:x102,[]:x103,[]:x201,[]:x201,[]:x102,[]:x102,[]:X104,[]:x103],[[2000008]:pred(X104,rolling,n,0),[2000009]:pred(x102,race,n,0),[]:rel(x102,x103,of,0),[2000004]:pred(x201,compete,v,0),[2000005]:rel(x201,x102,in,0),[]:rel(x102,X104,of,0),[2000007]:pred(x103,tire,n,0)])
[n--nn]	girl-n-2	girl-n-2 in-r-3 white-n-4	1.0	1.0	0.901651	0.901651	girl-nn : girl-nn pmod-#1# in-in pobj-#2# white-jj #2# #1#	0	Phrasal	1	11	a girl is wearing white clothes and is dancing	a girl in white is dancing	drs([[]:x103],[[2100002]:pred(x103,girl,n,0)])	drs([[]:x103,[]:xir,[]:x103,[]:xir],[[2200002]:pred(x103,girl,n,0),[2200004]:pred(xir,white,n,0),[2200003]:rel(x103,xir,in,0)])
[vnn--rvnn]	carrying-v-7 huge-a-9 stick-n-10 on-r-11 green-a-13 grass-n-14	with-r-6 large-a-8 branch-n-9 running-v-11 in-r-12 field-n-14	1.0	1.0	0.690088	0.658323	carry-vb dobj-#1# on-in pobj-#2# green-jj amod-#3# grass-nn #3# #2# #1# dobj-#4# huge-jj amod-#5# stick-nn #5# #4# : run-vb dobj-#1# in-in pobj-#2# field-nn #2# #1#	0	Phrasal	1	14	a black and white dog is carrying a huge stick on the green grass	a black and white dog with a large branch is running in the field	drs([[]:x201,[]:x105,[]:x105,[]:x104,[]:x201,[]:x104,[]:x104,[]:x105,[]:x104],[[2700007]:pred(x201,carry,v,0),[2700014]:pred(x105,grass,n,0),[2700013]:pred(x105,green,a,0),[2700010]:pred(x104,stick,n,0),[]:rel(x201,x104,patient,0),[2700011]:rel(x104,x105,on,0),[2700009]:pred(x104,huge,a,0)])	drs([[]:x104,[]:x101,[]:x104,[]:x104,[]:x201,[]:x105,[]:x201,[]:x105],[[2800008]:pred(x104,large,a,0),[2800006]:rel(x101,x104,with,0),[2800009]:pred(x104,branch,n,0),[2800011]:pred(x201,run,v,0),[2800014]:pred(x105,field,n,0),[2800012]:rel(x201,x105,in,0)])
[n--n]	trumpet-n-6	guitar-n-6	0.0	0.0	0.851897	0.851897	trumpet-nn : guitar-nn	0	NotInWN	1	15	a man is playing a trumpet	the man is playing a guitar	drs([[]:x102],[[2900006]:pred(x102,trumpet,n,0)])	drs([[]:x102],[[3000006]:pred(x102,guitar,n,0)])
[n--nn]	country-n-11	shade-n-7 of-r-8 trees-n-10	0.0	0.0	0.632726	0.632726	country-nn : shade-nn pmod-#1# of-in pobj-#2# tree-nn #2# #1#	1	Phrasal	1	16	a cat is jumping high into the air in the country	a dog is jumping in the shade of some trees	drs([[]:x103],[[3100011]:pred(x103,country,n,0)])	drs([[]:xir,[]:x103,[]:xir,[]:x103],[[3200010]:pred(xir,tree,n,0),[3200008]:rel(x103,xir,of,0),[3200007]:pred(x103,shade,n,0)])
[n--n]	cat-n-2 high-a-5	dog-n-2	0.0	0.0	0.890268	0.957944	cat-nn : dog-nn	1	Phrasal	1	16	a cat is jumping high into the air in the country	a dog is jumping in the shade of some trees	drs([[]:x101,[]:x101],[[3100005]:pred(x101,high,a,0),[3100002]:pred(x101,cat,n,0)])	drs([[]:x101],[[3200002]:pred(x101,dog,n,0)])
[vrnnn--vnn]	in-r-4 standing-v-12 front-n-14 someone-n-16 lookers-n-17	man-n-2 posing-v-14 for-r-15 camera-n-17	0.0	0.0	0.80341	0.893544, 0.409803	stand-vb : man-nn, in-in : pose-vb dobj-#1# for-in pobj-#2# camera-nn #2# #1#	1	Phrasal	1	18	the man dressed in leather chaps and a purple shirt is standing in front of someone lookers	a man is wearing a purple shirt and black leather chaps and is posing for the camera	drs([[]:x107,[]:x107,[]:x108,[]:x202,[]:x202,[]:x101,[]:x108,[]:x106,[]:x202,[]:x106,[]:x106,[]:x107],[[3500016]:pred(x107,person,n,1),[3500004]:rel(x107,x108,in,0),[3500012]:pred(x202,stand,v,0),[]:rel(x202,x101,agent,0),[3500017]:pred(x108,looker,n,0),[3500014]:pred(x106,front,n,0),[3500004]:rel(x202,x106,in,0),[]:rel(x106,x107,of,0)])	drs([[]:X106,[]:X107,[]:x202,[]:x202,[]:X106,[]:x202,[]:X107],[[3600002]:pred(X106,man,n,0),[3600017]:pred(X107,camera,n,0),[3600014]:pred(x202,pose,v,0),[]:rel(x202,X106,agent,0),[3600015]:rel(x202,X107,for,0)])
[vnnr--nr]	man-n-2 dressed-v-3 in-r-4 chaps-n-6	black-a-9 chaps-n-11	0.0	0.0	0.657898	0.807275	dress-vb dobj-#1# in-in pobj-#2# chap-nn #2# #1# : black-jj amod-#1# chap-nn #1#	1	Phrasal	1	18	the man dressed in leather chaps and a purple shirt is standing in front of someone lookers	a man is wearing a purple shirt and black leather chaps and is posing for the camera	drs([[]:x102,[]:x201,[]:x103,[]:x103,[]:x201,[]:x102,[]:x102,[]:x101,[]:x201],[[3500002]:pred(x102,man,n,0),[3500004]:rel(x201,x103,in,0),[3500006]:pred(x103,chap,n,0),[]:rel(x201,x102,patient,0),[]:rel(x102,x101,subset_of,1),[3500003]:pred(x201,dress,v,0)])	drs([[]:x103,[]:x103,[]:x103,[]:x101],[[3600011]:pred(x103,chap,n,0),[3600009]:pred(x103,black,a,0),[]:rel(x103,x101,subset_of,1)])
[nnr--nn]	black-a-12 shirt-n-13 pink-a-15 beads-n-16	patches-n-5 on-r-6 cheeks-n-8	0.0	0.0	0.894278	0.831148	pink-jj amod-#1# bead-nn #1# : patch-nn pmod-#1# on-in pobj-#2# cheek-nn #2# #1#	1	Phrasal	1	19	a girl is standing in a group and is wearing a black shirt and pink beads	a girl has colored patches on the cheeks	drs([[]:x106,[]:x104,[]:x106,[]:x104,[]:x106,[]:x105,[]:x105,[]:x105,[]:x104],[[]:rel(x106,x104,subset_of,1),[3700016]:pred(x106,bead,n,0),[]:pred(x104,group_head,r,0),[3700015]:pred(x106,pink,a,0),[3700012]:pred(x105,black,a,0),[3700013]:pred(x105,shirt,n,0),[]:rel(x105,x104,subset_of,1)])	drs([[]:X103,[]:x104,[]:X103,[]:x104],[[3800008]:pred(X103,cheek,n,0),[3800006]:rel(x104,X103,on,0),[3800005]:pred(x104,patch,n,0)])
[v--v]	wearing-v-10	colored-v-4	0.0	0.0	0.711532	0.711532	wear-vb : color-vb	1	NotInWN	1	19	a girl is standing in a group and is wearing a black shirt and pink beads	a girl has colored patches on the cheeks	drs([[]:x202],[[3700010]:pred(x202,wear,v,0)])	drs([[]:x202],[[3800004]:pred(x202,color,v,0)])
[n--n]	hole-n-2	earth-n-7	1.0	1.0	0.808887	0.808887	hole-nn : earth-nn	0	NotInWN	1	20	a hole is being burrowed by the badger	a badger is shrewdly digging the earth	drs([[]:x101],[[3900002]:pred(x101,hole,n,0)])	drs([[]:x101],[[4000007]:pred(x101,earth,n,0)])
[v--v]	burrowed-v-5	shrewdly-r-4 digging-v-5	1.0	1.0	0.790069	0.790069	burrow-vb : digging-nn	0	Phrasal	1	20	a hole is being burrowed by the badger	a badger is shrewdly digging the earth	drs([[]:x201],[[3900005]:pred(x201,burrow,v,0)])	drs([[]:x201,[]:x201],[[4000005]:pred(x201,dig,v,0),[4000004]:pred(x201,shrewdly,r,0)])
[n--n]	kid-n-2	woman-n-2	0.0	0.0	0.811685	0.811685	kid-nn : woman-nn	1	NotInWN	1	23	a kid is playing guitar	a woman is playing an electric guitar	drs([[]:x101],[[4500002]:pred(x101,kid,n,0)])	drs([[]:x101],[[4600002]:pred(x101,woman,n,0)])
[n--n]	guitar-n-5	electric-a-6 guitar-n-7	1.0	1.0	0.569886	0.569886	guitar-nn : electric-jj amod-#1# guitar-nn #1#	1	Phrasal	1	23	a kid is playing guitar	a woman is playing an electric guitar	drs([[]:x102],[[4500005]:pred(x102,guitar,n,0)])	drs([[]:x102,[]:x102],[[4600007]:pred(x102,guitar,n,0),[4600006]:pred(x102,electric,a,0)])
[vnn--vnnn]	setting-v-5 fire-n-6 to-r-7 cameras-n-9	burning-v-4 cameras-n-6 with-r-7 blow-n-9 torch-n-10	0.0	0.0	0.85827	0.761643, 0.713525	set-vb dobj-#1# fire-nn #1# : burn-vb dobj-#1# with-in pobj-#2# torch-nn #2# #1# dobj-#3# camera-nn #3#, camera-nn : blow-nn	0	Phrasal	1	24	the tall person is setting fire to the cameras	a person is burning some cameras with a blow torch	drs([[]:x201,[]:x201,[]:x103,[]:x103,[]:x201,[]:x102,[]:x102],[[4700005]:pred(x201,set,v,0),[4700007]:rel(x201,x103,to,0),[4700009]:pred(x103,camera,n,0),[]:rel(x201,x102,patient,0),[4700006]:pred(x102,fire,n,0)])	drs([[]:x201,[]:x103,[]:x201,[]:X103,[]:X103,[]:X104,[]:x201,[]:x103,[]:X103,[]:X104],[[]:rel(x201,x103,patient,0),[4800007]:rel(x201,X103,with,0),[4800009]:pred(X103,blow,n,0),[4800010]:pred(X104,torch,n,0),[4800004]:pred(x201,burn,v,0),[4800006]:pred(x103,camera,n,0),[]:rel(X103,X104,in,0)])
[n--n]	street-n-10	road-n-10	1.0	1.0	0.923658	0.923658	street-nn : road-nn	1	Hypernym	1	26	a man and a woman are driving down the street in a jeep	a man and a woman are driving down the road in an open-air vehicle	drs([[]:x104],[[5100010]:pred(x104,street,n,0)])	drs([[]:x104],[[5200010]:pred(x104,road,n,0)])
[n--n]	jeep-n-13	open-air-a-13 vehicle-n-14	1.0	1.0	-1	-1	#FAIL#	1	Phrasal	1	26	a man and a woman are driving down the street in a jeep	a man and a woman are driving down the road in an open-air vehicle	drs([[]:x105],[[5100013]:pred(x105,jeep,n,0)])	drs([[]:x105,[]:x105],[[5200013]:pred(x105,'open-air',a,0),[5200014]:pred(x105,vehicle,n,0)])
[nnvnrnnn--nvnnn]	man-n-2 two-n-4 women-n-5 in-r-6 dark-a-8 room-n-9 sitting-v-11 at-r-12 table-n-14 with-r-15 candles-n-16	people-n-4 sitting-v-6 in-r-7 dim-n-9 room-n-10	1.0	1.0	0.782593	0.826173, 0.12004	woman-nn pmod-#1# in-in pobj-#2# dark-jj amod-#3# room-nn #3# #2# #1# : sit-vb dobj-#1# in-in pobj-#2# dim-jj amod-#3# room-nn #3# #2# #1#, sit-vb dobj-#1# at-in pobj-#2# table-nn pmod-#3# with-in pobj-#4# candle-nn #4# #3# #2# #1# nsubj-#5# man-nn #5# : people-nn	0	Phrasal	1	27	a man and two women in a dark room are sitting at a table with candles	the group of people is sitting in a dim room	drs([[]:x201,[]:x106,[]:x201,[]:x107,[]:x102,[]:x103,[]:x101,[]:x101,[]:x107,[]:x105,[]:x201,[]:x102,[]:x104,[]:x101,[]:x105,[]:x106,[]:x103,[]:x103,[]:x102,[]:x101,[]:x105,[]:x104],[[5300012]:rel(x201,x106,at,0),[5300015]:rel(x201,x107,with,0),[5300005]:pred(x102,woman,n,0),[]:rel(x103,x101,subset_of,1),[]:pred(x101,group_head,r,0),[5300016]:pred(x107,candle,n,0),[5300008]:pred(x105,dark,a,0),[5300011]:pred(x201,sit,v,0),[]:rel(x102,x104,of,0),[5300006]:rel(x101,x105,in,0),[5300014]:pred(x106,table,n,0),[5300005]:pred(x103,woman,n,0),[5300004]:pred(x103,two,n,0),[]:rel(x102,x101,subset_of,1),[5300009]:pred(x105,room,n,0),[5300002]:pred(x104,man,n,0)])	drs([[]:x101,[]:x201,[]:X104,[]:x101,[]:x102,[]:x105,[]:x102,[]:x201,[]:x105,[]:x105,[]:X104],[[5400002]:pred(x101,group,n,0),[5400006]:pred(x201,sit,v,0),[5400009]:pred(X104,dim,n,0),[5400003]:rel(x101,x102,of,0),[5400010]:pred(x105,room,n,0),[5400004]:pred(x102,people,n,0),[5400007]:rel(x201,x105,in,0),[5400003]:rel(x105,X104,of,0)])
[n--n]	little-a-2	laughing-a-2	0.0	0.0	0.708215	0.708215	little-jj : laughing-nn	1	NotInWN	1	28	a little boy is wearing a yellow tank top and is laughing	a laughing boy is in a yellow tank and is wearing a top	drs([[]:x101],[[5500002]:pred(x101,little,a,0)])	drs([[]:x101],[[5600002]:pred(x101,laughing,a,0)])
[nvnn--nn]	little-a-2 yellow-a-7 tank-n-8 laughing-v-12	laughing-a-2 in-r-5 yellow-a-7 tank-n-8	0.0	0.0	0.624278	0.82553, 0.351046	laugh-vb : laughing-nn, yellow-jj : in-in pobj-#1# yellow-jj amod-#2# tank-nn #2# #1#	1	Phrasal	1	28	a little boy is wearing a yellow tank top and is laughing	a laughing boy is in a yellow tank and is wearing a top	drs([[]:x102,[]:x103,[]:x104,[]:x202,[]:x202,[]:x104,[]:x102,[]:x103],[[5500007]:pred(x102,yellow,a,0),[5500008]:pred(x103,tank,n,0),[5500002]:pred(x104,little,a,0),[5500012]:pred(x202,laugh,v,0),[]:rel(x202,x104,agent,0),[]:rel(x102,x103,of,0)])	drs([[]:x103,[]:x104,[]:x104,[]:x103,[]:x103],[[5600007]:pred(x103,yellow,a,0),[5600002]:pred(x104,laughing,a,0),[5600005]:rel(x104,x103,in,0),[5600008]:pred(x103,tank,n,0)])
[n--n]	potatoes-n-5	horse-n-2	0.0	0.0	0.79192	0.79192	potato-nn : horse-nn	1	NotInWN	1	29	a woman is slicing potatoes	a horse is being ridden by a person	drs([[]:x102],[[5700005]:pred(x102,potato,n,0)])	drs([[]:x102],[[5800002]:pred(x102,horse,n,0)])
[v--v]	slicing-v-4	ridden-v-5	0.0	0.0	0.694197	0.694197	slice-vb : ride-vb	1	NotInWN	1	29	a woman is slicing potatoes	a horse is being ridden by a person	drs([[]:x201],[[5700004]:pred(x201,slice,v,0)])	drs([[]:x201],[[5800005]:pred(x201,ride,v,0)])
[n--n]	woman-n-2	person-n-8	1.0	1.0	0.837127	0.837127	woman-nn : person-nn	1	Hypernym	1	29	a woman is slicing potatoes	a horse is being ridden by a person	drs([[]:x101],[[5700002]:pred(x101,woman,n,0)])	drs([[]:x101],[[5800008]:pred(x101,person,n,0)])
[v--vn]	skiing-v-4	snowboarding-v-4 in-r-8 snow-n-10	0.0	0.0	0.890763	0.847123	ski-vb : snowboard-vb	1	Phrasal	1	30	a man is skiing down a hill and jumping a red obstacle	a man is snowboarding down a railing in the snow	drs([[]:x201],[[5900004]:pred(x201,ski,v,0)])	drs([[]:x201,[]:x201,[]:xir,[]:xir],[[6000004]:pred(x201,snowboard,v,0),[6000008]:rel(x201,xir,in,0),[6000010]:pred(xir,snow,n,0)])
[n--n]	hill-n-7	railing-n-7	0.0	0.0	0.596434	0.596434	hill-nn : railing-nn	1	NotInWN	1	30	a man is skiing down a hill and jumping a red obstacle	a man is snowboarding down a railing in the snow	drs([[]:x102],[[5900007]:pred(x102,hill,n,0)])	drs([[]:x102],[[6000007]:pred(x102,railing,n,0)])
[vn--vn]	woman-n-2 singing-v-6 with-r-7	singing-v-6 in-r-7 rain-n-9	0.0	0.0	0.89082	0.925423	singing-nn : singing-nn pmod-#1# in-in pobj-#2# rain-nn #2# #1#	1	Phrasal	1	31	a woman is dancing and singing with other women	a woman is dancing and singing in the rain	drs([[]:x202,[]:x202,[]:x103,[]:x103],[[6100006]:pred(x202,sing,v,0),[6100007]:rel(x202,x103,with,0),[6100002]:pred(x103,woman,n,0)])	drs([[]:x202,[]:x202,[]:x103,[]:x103],[[6200006]:pred(x202,sing,v,0),[6200007]:rel(x202,x103,in,0),[6200009]:pred(x103,rain,n,0)])
[v--vn]	dancing-v-4	dancing-v-4 in-r-7 rain-n-9	0.0	0.0	0.905342	0.961034	dancing-nn : dance-vb	1	Phrasal	1	31	a woman is dancing and singing with other women	a woman is dancing and singing in the rain	drs([[]:x201],[[6100004]:pred(x201,dance,v,0)])	drs([[]:x201,[]:x201,[]:xir,[]:xir],[[6200004]:pred(x201,dance,v,0),[6200007]:rel(x201,xir,in,0),[6200009]:pred(xir,rain,n,0)])
